C:\Schneider\Soft\py\opc\venv\Scripts\python.exe C:/Schneider/Soft/py/opc/main.py
['Saturn.OPC.LanMon']
None
print(name, value, quality, time)
200.1.110.1 43.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.110.2 68.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.110.3 0 Good 2022-06-17 10:26:41.861000+00:00

200.10.1.1 25.082902908325195 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.2 25.375059127807617 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.3 10.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.4 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.5 0.5001000165939331 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.6 0.5001000165939331 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.7 0.5001000165939331 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.8 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.9 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.10 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.11 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.12 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.13 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.14 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.15 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.16 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.17 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.18 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.19 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.20 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.21 69191.76133292913 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.22 75333.71322154999 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.23 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.24 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.25 67664.59492880106 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.26 73854.0407600142 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.27 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.28 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.29 75.71220225095749 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.30 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.31 0.0 Good 2022-06-17 10:26:41.861000+00:00
